17-02-2026 13:53:03 | INFO     | modules.map.discoverer:_descubrir:1345 | DISCOVERER | [nivel=1] [5/8] http://localhost:8888/api/
17-02-2026 13:53:04 | DEBUG    | modules.map.discoverer:_realizar_peticion:436 | DISCOVERER | Fetching: http://localhost:8888/docs/
17-02-2026 13:53:04 | DEBUG    | modules.map.discoverer:_realizar_peticion:437 | DISCOVERER | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36
17-02-2026 13:53:04 | DEBUG    | modules.map.discoverer:_realizar_peticion:456 | DISCOVERER | Código de estado 200: http://localhost:8888/docs/
17-02-2026 13:53:04 | INFO     | modules.map.discoverer:_descubrir:1345 | DISCOVERER | [nivel=1] [6/8] http://localhost:8888/docs/
17-02-2026 13:53:05 | DEBUG    | modules.map.discoverer:_realizar_peticion:436 | DISCOVERER | Fetching: http://localhost:8888/hidden/
17-02-2026 13:53:05 | DEBUG    | modules.map.discoverer:_realizar_peticion:437 | DISCOVERER | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0
17-02-2026 13:53:05 | DEBUG    | modules.map.discoverer:_realizar_peticion:456 | DISCOVERER | Código de estado 200: http://localhost:8888/hidden/
17-02-2026 13:53:05 | INFO     | modules.map.discoverer:_descubrir:1345 | DISCOVERER | [nivel=1] [7/8] http://localhost:8888/hidden/
17-02-2026 13:53:06 | DEBUG    | modules.map.discoverer:_realizar_peticion:436 | DISCOVERER | Fetching: http://localhost:8888/admin/
17-02-2026 13:53:06 | DEBUG    | modules.map.discoverer:_realizar_peticion:437 | DISCOVERER | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36
17-02-2026 13:53:06 | DEBUG    | modules.map.discoverer:_realizar_peticion:456 | DISCOVERER | Código de estado 200: http://localhost:8888/admin/
17-02-2026 13:53:06 | INFO     | modules.map.discoverer:_descubrir:1345 | DISCOVERER | [nivel=1] [8/8] http://localhost:8888/admin/
17-02-2026 13:53:06 | INFO     | modules.map.discoverer:_descubrir:1400 | DISCOVERER | Nivel 1 completado: 8 páginas visitadas
17-02-2026 13:53:06 | INFO     | modules.map.discoverer:_descubrir:1182 | DISCOVERER | Nivel 2: procesando 11 URLs
17-02-2026 13:53:08 | DEBUG    | modules.map.discoverer:_realizar_peticion:436 | DISCOVERER | Fetching: http://localhost:8888/admin/settings/
17-02-2026 13:53:08 | DEBUG    | modules.map.discoverer:_realizar_peticion:437 | DISCOVERER | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0
17-02-2026 13:53:08 | DEBUG    | modules.map.discoverer:_realizar_peticion:456 | DISCOVERER | Código de estado 200: http://localhost:8888/admin/settings/
17-02-2026 13:53:08 | INFO     | modules.map.discoverer:_descubrir:1345 | DISCOVERER | [nivel=2] [1/11] http://localhost:8888/admin/settings/
17-02-2026 13:53:10 | DEBUG    | modules.map.discoverer:_realizar_peticion:436 | DISCOVERER | Fetching: http://localhost:8888/blog/tags/
17-02-2026 13:53:10 | DEBUG    | modules.map.discoverer:_realizar_peticion:437 | DISCOVERER | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0
17-02-2026 13:53:10 | DEBUG    | modules.map.discoverer:_realizar_peticion:456 | DISCOVERER | Código de estado 200: http://localhost:8888/blog/tags/
17-02-2026 13:53:10 | INFO     | modules.map.discoverer:_descubrir:1345 | DISCOVERER | [nivel=2] [2/11] http://localhost:8888/blog/tags/
