17-02-2026 13:35:58 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/portal/login.html?redirect=/portal/dashboard
17-02-2026 13:35:58 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [6] depth=1, pending=53, est=1.0m
17-02-2026 13:35:59 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/admin/login.html
17-02-2026 13:35:59 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15
17-02-2026 13:35:59 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/admin/login.html
17-02-2026 13:35:59 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [7] depth=1, pending=53, est=1.0m
17-02-2026 13:36:00 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/about/team.html
17-02-2026 13:36:00 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36
17-02-2026 13:36:00 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/about/team.html
17-02-2026 13:36:00 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [8] depth=2, pending=52, est=60s
17-02-2026 13:36:02 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/about/careers.html
17-02-2026 13:36:02 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0
17-02-2026 13:36:02 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/about/careers.html
17-02-2026 13:36:02 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [9] depth=2, pending=51, est=59s
17-02-2026 13:36:03 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/about/contact.html
17-02-2026 13:36:03 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
17-02-2026 13:36:03 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/about/contact.html
17-02-2026 13:36:03 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [10] depth=2, pending=50, est=57s
17-02-2026 13:36:05 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/blog/post-1.html
17-02-2026 13:36:05 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0
17-02-2026 13:36:05 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/blog/post-1.html
17-02-2026 13:36:05 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [11] depth=2, pending=49, est=56s
17-02-2026 13:36:06 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/blog/post-2.html
17-02-2026 13:36:06 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36
17-02-2026 13:36:06 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/blog/post-2.html
17-02-2026 13:36:06 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [12] depth=2, pending=48, est=55s
17-02-2026 13:36:08 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/blog/post-3.html
17-02-2026 13:36:08 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15
17-02-2026 13:36:08 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/blog/post-3.html
17-02-2026 13:36:08 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [13] depth=2, pending=47, est=54s
17-02-2026 13:36:09 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/blog/post-4.html
17-02-2026 13:36:09 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36
17-02-2026 13:36:09 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/blog/post-4.html
17-02-2026 13:36:09 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [14] depth=2, pending=46, est=53s
17-02-2026 13:36:10 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/blog/post-5.html
17-02-2026 13:36:10 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0
17-02-2026 13:36:10 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/blog/post-5.html
17-02-2026 13:36:10 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [15] depth=2, pending=45, est=52s
17-02-2026 13:36:11 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/blog/categories/
17-02-2026 13:36:11 | DEBUG    | modules.map.crawler:_realizar_peticion:436 | CRAWLER    | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36
17-02-2026 13:36:11 | DEBUG    | modules.map.crawler:_realizar_peticion:455 | CRAWLER    | Código de estado 200: http://localhost:8888/blog/categories/
17-02-2026 13:36:11 | INFO     | modules.map.crawler:_descubrir_urls:1063 | CRAWLER    | [16] depth=2, pending=47, est=54s
17-02-2026 13:36:13 | DEBUG    | modules.map.crawler:_realizar_peticion:435 | CRAWLER    | Fetching: http://localhost:8888/blog/tags/
